Q,Pgen,Ppost
6.3401313,1.1033618641948635e-16,6.995459071437438e-16
1.4580957,1.192829816709407e-11,1.739259990488377e-11
2.6123052,1.9466076343404942e-13,5.085133176125811e-13
4.2492256,5.281548449154173e-13,2.2442490964694503e-12
3.7671714,3.2374834299105358e-15,1.2196154929785028e-14
1.3090043,3.480544590160243e-11,4.556047858505576e-11
1.9562405,5.434777847814138e-09,1.0631732723431522e-08
1.8314054,5.697697506205649e-18,1.043479398743892e-17
0.29199088,9.303563588568644e-11,2.7165556839882457e-11
0.6981482,8.33165841371442e-11,5.816732249357937e-11
0.7703121,4.926182995326939e-13,3.794698224499393e-13
0.92618746,5.675872512732081e-16,5.256921921184621e-16
4.850542,4.553701233589769e-11,2.2087919400823027e-10
3.3626137,2.1945357608660012e-13,7.379375966301004e-13
2.594079,7.56492259581948e-09,1.962400697587968e-08
0.7198635,8.109690756885398e-13,5.837870164310086e-13
3.0134208,6.1984460997003175e-15,1.8678526529948842e-14
2.027472,6.687105945378107e-08,1.3557920193650362e-07
2.6853833,2.9045037090741548e-09,7.79970581280395e-09
3.67636,8.284333804269073e-12,3.045619252905558e-11
1.4026306,2.067387304734349e-16,2.899780628586568e-16
2.6945615,1.7348954657295238e-11,4.674782496341846e-11
2.3133855,5.803299565509645e-15,1.3425268989258249e-14
0.40836257,2.4150449220322962e-21,9.86213944807272e-22
3.4013028,4.335906658401218e-14,1.474773152055843e-13
2.2191434,6.845481986320567e-23,1.519110610579469e-22
3.1220005,0.0,0.0
3.7309892,1.0989220370727225e-10,4.100066271475181e-10
0.51403135,1.784840296111239e-11,9.174638680379251e-12
8.020098,2.377811433208841e-21,1.9070280083895295e-20
3.1560721,5.559344397731506e-11,1.75456919689e-10
3.2467983,2.4461302119037004e-10,7.942091357085011e-10
4.0271473,4.782841652012555e-13,1.926120781218439e-12
2.88711,8.362566637818425e-12,2.414364972296507e-11
1.4587085,1.3942525128672761e-10,2.0338080261094406e-10
1.6572421,4.260479149415236e-19,7.060645240918366e-19
1.3885525,1.299249357730803e-12,1.8040760042171025e-12
7.225462,4.507655001332956e-12,3.256988974020869e-11
1.4432107,1.5478006043312443e-14,2.2338024261657875e-14
2.784503,3.560764669663305e-15,9.914959844770566e-15
2.327927,2.216047172595085e-17,5.158796295838899e-17
0.41577867,3.227707849097628e-11,1.3420120661069233e-11
3.2041085,1.9929109432411246e-14,6.385502846425102e-14
1.8144224,3.0965495616489466e-11,5.6184487913831994e-11
2.919321,1.85158034140398e-09,5.405357485277143e-09
3.288106,8.987038777831568e-16,2.9550335810024485e-15
1.4430448,0.0,0.0
0.8708766,1.7223934527296034e-18,1.4999921716800434e-18
0.54114944,5.551634822580154e-16,3.0042640610422845e-16
1.6912249,3.4635790166517726e-09,5.8576911892361736e-09
4.0584846,8.421754989822085e-15,3.4179562546214166e-14
1.4097449,2.973111508630887e-12,4.1913286637583514e-12
0.94167787,2.0738081455359952e-14,1.9528592338888843e-14
0.77706546,2.010556529941663e-12,1.5623340265790706e-12
2.7115521,3.01482865370501e-12,8.174865097023833e-12
3.7688794,3.18664737438718e-13,1.2010089687745427e-12
4.8672996,4.0163863541324143e-13,1.9548955521133866e-12
1.5008545,7.629133964121956e-23,1.1450219981552666e-22
2.8578072,8.983123196066775e-14,2.567203378370589e-13
3.8209913,8.657824720146981e-14,3.308147273949119e-13
4.1631837,1.315315813881996e-13,5.475901342391745e-13
0.922652,1.903556029081376e-10,1.7563197890495116e-10
1.2863182,2.3126156454147555e-13,2.9747595548606685e-13
3.2188866,1.613365746082193e-08,5.193241403301354e-08
0.8527102,1.766298914638087e-09,1.5061410785675455e-09
6.2116694,1.1771793319987702e-13,7.312248887906818e-13
13.821367,6.399256654747657e-12,8.844647644054482e-11
0.53221583,4.774790635294885e-16,2.541219178534243e-16
1.7320255,1.0663871692042278e-13,1.8470097743197812e-13
2.9649112,9.269540246069331e-17,2.748336390259599e-16
0.5758128,9.482497594481068e-10,5.460143648469314e-10
5.0695486,5.79496238323748e-14,2.9377843476820447e-13
13.816111,2.1386228408126672e-10,2.9547449723797404e-09
1.6500871,8.510367673434241e-10,1.4042848068643847e-09
1.0556607,5.371857931573535e-17,5.670859436707473e-17
0.98418355,7.770855269830006e-12,7.647947925072627e-12
4.2494125,3.0300383585792716e-19,1.2875882987389557e-18
5.956216,3.237103684928675e-12,1.928088830364977e-11
0.27726114,2.730850051678223e-16,7.571585929328226e-17
1.0701381,5.956056374884844e-15,6.373802833508685e-15
3.2423828,6.012981939374608e-10,1.949638900537982e-09
1.0571347,1.6747767187712821e-12,1.7704646637258465e-12
3.1378264,1.9654761701780927e-13,6.167323099317918e-13
0.22290292,6.547423310490797e-21,1.4594397994113555e-21
1.9677601,1.8262051507808142e-13,3.5935336046628857e-13
1.9106194,7.65750976743416e-11,1.4630586549572427e-10
1.7995193,1.3706378643613857e-10,2.466489290860707e-10
3.085034,2.9837883071372173e-15,9.205088058801537e-15
1.3751981,1.4699042488224909e-12,2.0214095681438155e-12
1.7968191,9.96033249239678e-14,1.7896915573484372e-13
0.85079473,1.0772085409225385e-12,9.164833524970093e-13
5.328279,2.468599122157374e-10,1.3153384907436978e-09
2.685373,9.300044913453162e-15,2.497409014043677e-14
1.8526058,1.2504550370847834e-11,2.3166002789791356e-11
1.4484342,1.2825765360093945e-09,1.8577277620520758e-09
3.2406034,8.775306536200547e-11,2.8437288609346055e-10
0.33100885,2.5364299333299837e-20,8.395807592132249e-21
1.321173,2.069461084883318e-09,2.7341160119136582e-09
2.9930694,1.8839091459038615e-12,5.638670836434643e-12
1.3781759,8.750561863692942e-14,1.2059813075450805e-13
0.9405038,3.269608257532888e-10,3.075078912490633e-10
1.0769858,4.9424391534869273e-17,5.3229369637408424e-17
1.2195902,2.811916199182502e-10,3.429385403393895e-10
2.7128053,1.3991373005843946e-10,3.795587044086083e-10
4.9717827,6.186096505607653e-16,3.075592749015077e-15
6.053529,1.5915390670887157e-15,9.634427556196523e-15
0.8401803,3.0980375505499435e-15,2.602910049931481e-15
0.63876927,0.0,0.0
1.4617763,4.203188147367097e-14,6.144120635681014e-14
0.7920905,6.197643916009153e-10,4.909094716778487e-10
1.9051383,2.2384462612198105e-11,4.264549602143935e-11
1.2449126,6.9877282968365305e-15,8.699111172323326e-15
0.32049304,5.868972705174828e-20,1.8809649184491426e-20
0.74588454,1.033551599899144e-09,7.709101572766008e-10
1.5420359,4.2360881319809965e-11,6.53220013312397e-11
2.3308303,4.123944885845817e-14,9.612215842342287e-14
3.4158907,2.988321831657389e-16,1.020778073443308e-15
12.016423,4.294594272815612e-14,5.160566236354351e-13
7.903954,6.026169717861677e-14,4.763056842143228e-13
3.261579,1.443169765619205e-10,4.707012253961102e-10
1.4891201,1.6623765047534705e-13,2.4754783098365264e-13
1.4889747,6.2682600149673624e-12,9.33328051536664e-12
2.4765184,1.5561589162919051e-15,3.853856177947601e-15
3.9943078,7.97854914913835e-08,3.186878075141302e-07
2.1539285,4.424481109988555e-20,9.53001604146314e-20
6.987672,8.055542139876094e-14,5.628948506431277e-13
1.6249956,2.6394113196130434e-08,4.28903175260431e-08
0.5751155,1.48618565935171e-19,8.547284113658771e-20
1.5377526,2.03657067424257e-13,3.1317419070890134e-13
1.5724721,1.0760958350154221e-13,1.6921306726342262e-13
0.2951457,1.8701649080092561e-13,5.519711130131672e-14
0.935129,3.123519552972964e-18,2.9208936749324184e-18
1.2732587,2.8687189999752215e-15,3.652621384600084e-15
1.3635638,1.1268364153381023e-08,1.5365133174510216e-08
0.7152091,8.396014278196827e-10,6.004906037759565e-10
0.46378326,1.7164900967139042e-17,7.960793799525567e-18
0.8002718,3.853464196935149e-09,3.0838187641876276e-09
1.4566019,1.823745562792609e-11,2.65647117553654e-11
0.8732377,2.1513887718261783e-09,1.878673845461719e-09
0.7744833,1.0584973723322628e-22,8.197885624135759e-23
0.28951502,3.529594867749604e-19,1.0218707233039124e-19
2.7553616,1.831577645894971e-14,5.046658634172082e-14
1.2440786,0.0,0.0
2.8030822,2.649390771289677e-10,7.426460185252794e-10
1.517879,8.75159953092177e-11,1.3283869225320526e-10
2.3667953,7.322903133108654e-10,1.7331812728322615e-09
0.89813805,9.113845830801438e-08,8.185491688433216e-08
4.539199,5.345333464324412e-13,2.4263531650044996e-12
2.1824632,4.968208715922957e-09,1.0842932538893026e-08
9.900533,2.78226605943954e-13,2.7545916164107577e-12
1.3225507,1.7281463285689504e-10,2.2855610577673782e-10
4.0812135,3.711241024374621e-12,1.5146366874954962e-11
2.2596936,3.0432705969911747e-13,6.876859159833915e-13
3.3570845,1.5729548726549235e-16,5.280542442182472e-16
0.56915456,8.038439612650688e-12,4.5751145653741155e-12
2.9160542,1.0784829968969068e-11,3.1449149253703666e-11
