Q,Pgen,Ppost
1.3573074,1.256919400009963e-11,1.7060260456754492e-11
2.207025,6.10281986579164e-16,1.3469076326256291e-15
0.7439624,2.5803213658343897e-12,1.91966209444899e-12
5.0914426,1.2347781364166767e-17,6.286801986768256e-17
18.998358,5.4048313353670024e-14,1.0268291941108942e-12
2.3320384,2.646993620940731e-12,6.172890775358179e-12
0.8705942,6.41674543696206e-10,5.586381382575457e-10
2.0957892,8.796023572702041e-10,1.8434611154779874e-09
1.1701345,8.296821815233112e-19,9.708397814508103e-19
10.757819,4.121898921204123e-10,4.434264325491018e-09
0.54749733,1.8719545827170035e-12,1.0248901398426274e-12
16.906036,3.2319082918820736e-08,5.463875914953478e-07
5.8892064,1.3979223966972006e-23,8.232653538548934e-23
5.64153,1.0003656146057044e-15,5.64359266270629e-15
1.4816633,1.1490822123357842e-18,1.7025529958924305e-18
4.568168,1.0965798392434315e-11,5.009361110147994e-11
32.074722,0.0,0.0
1.5715327,1.166947120321496e-14,1.8338955894325868e-14
2.6415825,3.592987604900905e-10,9.491173140349404e-10
1.0713197,3.2208977169614537e-15,3.4506111735706646e-15
2.0849307,6.088400474296385e-26,1.2693892809115094e-25
2.5472689,1.7302601342590564e-14,4.4074377726617914e-14
2.7950003,4.2040272880073116e-14,1.1750257593040477e-13
2.0850334,1.3442423463712235e-17,2.802790212391804e-17
1.3393055,3.6671389883172564e-14,4.9114194898720314e-14
9.374926,1.5353977606794728e-12,1.4394239793356092e-11
1.5988959,2.0599559166992787e-25,3.2936550846390913e-25
11.878807,5.620662214425126e-12,6.676676203882917e-11
1.3197633,3.2802294330452492e-12,4.32912643050754e-12
5.0337186,1.3432686134889928e-12,6.7616361856670325e-12
6.271495,7.751411576628605e-13,4.861293790256391e-12
1.1816227,2.0943120322491412e-20,2.474686729514476e-20
7.2299886,5.231980031858814e-13,3.782715585487156e-12
2.6857731,7.135485054719315e-15,1.9164294059676003e-14
2.5143168,8.06939551023963e-16,2.0289016675101443e-15
0.9711755,1.1101702414613244e-15,1.0781701302438561e-15
0.7876827,1.6881755091703256e-16,1.3297466635271e-16
3.8506768,8.877610462537672e-11,3.418480842540118e-10
1.7865992,1.6442970187010462e-20,2.937699671153316e-20
1.9115928,6.653559990783199e-11,1.271889764653242e-10
15.362828,1.9211950460564276e-12,2.951498953634479e-11
5.351273,6.076435710787564e-15,3.251666671901742e-14
0.8684756,8.070418217448318e-09,7.0089614326004455e-09
6.0310726,2.0330782622609636e-13,1.2261642634880353e-12
5.0431294,1.498663934049988e-10,7.557956212651676e-10
2.7193816,1.2175637276044372e-11,3.311020362141587e-11
10.041566,7.69694100420955e-14,7.728934028431779e-13
2.9675374,2.530550642801209e-09,7.509503682968263e-09
4.5531077,8.535900456290246e-19,3.886487442255704e-18
0.6622474,8.875087097483302e-21,5.877503526879585e-21
2.5943067,2.0018305010445468e-13,5.193362295902142e-13
3.553446,3.185195017373421e-13,1.1318418667166832e-12
1.0419929,1.3201811136670266e-26,1.375619350793207e-26
6.964452,2.577743147736187e-11,1.7952567879040217e-10
3.8699305,3.5898259570081094e-19,1.3892376981368074e-18
0.6837227,3.35245777345485e-18,2.292151396176992e-18
0.5069277,1.846849766861163e-15,9.362193574781673e-16
1.841232,8.896139965981811e-11,1.637985706744151e-10
2.5345902,2.7228684661428604e-10,6.901355850779318e-10
0.48931795,7.576734985593335e-11,3.707432458018364e-11
0.7920198,2.404140962110805e-12,1.904127206599692e-12
