Q,Pgen,Ppost
2.6176605,4.546197183285426e-16,1.1900400894009371e-15
1.8420098,1.818033431117874e-10,3.3488353655604617e-10
3.8230746,5.143962001327341e-18,1.966575036384537e-17
1.1190087,1.4131967634060776e-14,1.5813794169826026e-14
2.6264615,5.019415083086345e-14,1.3183300497809401e-13
1.3338573,1.8709365291122698e-15,2.495562343259118e-15
0.67294633,8.158606021924155e-25,5.490304012067518e-25
2.5618525,3.1855674737669992e-15,8.160953853681439e-15
1.6216571,4.07108539007093e-14,6.60190466227756e-14
3.3917286,4.204027288007312e-14,1.4258919754405506e-13
0.17540072,6.855061837865744e-19,1.2023827754705088e-19
11.2890625,1.0751064912185384e-17,1.2136944373521782e-16
2.2746823,3.456997639009307e-13,7.863571283215247e-13
1.9281617,2.547525607612664e-13,4.912041409040993e-13
0.7299971,1.6315164040074064e-14,1.191002240992283e-14
1.6133406,7.523198724061806e-16,1.2137482065470008e-15
0.52789134,5.425137702871587e-12,2.8638832001062777e-12
1.3733258,6.324712989600451e-11,8.685891682671327e-11
0.82276016,3.592987604900906e-10,2.956167073708789e-10
2.6104295,2.9797207708460245e-11,7.778351077590708e-11
1.9178679,5.678535957515944e-13,1.0890681825902251e-12
2.851898,3.618618786280657e-17,1.0319931516304151e-16
2.5346622,9.852764579767294e-19,2.497343040599956e-18
1.0815238,5.66739255805911e-14,6.129419799774594e-14
3.8588464,6.450959696073848e-11,2.4893262767529974e-10
1.1759231,1.7175687118246705e-17,2.0197287396237115e-17
0.7011544,2.403403652347165e-11,1.6851570718699714e-11
1.5418181,1.345278798428179e-22,2.074175257380119e-22
3.453355,3.6165710685899445e-11,1.2489304049939307e-10
0.3535985,4.576011950983557e-19,1.6180709859130934e-19
4.8695984,3.09465165733842e-11,1.5069710724075919e-10
0.83078635,1.21914944266136e-109,1.0128527123902362e-109
1.7065747,1.0603496124674565e-11,1.809565798910503e-11
1.3401433,8.94083596412083e-13,1.1982001618859844e-12
0.24782042,4.224371262723786e-14,1.0468854692381971e-14
0.44953066,3.1454732508487964e-20,1.4139866699456433e-20
0.30501142,2.396270703113098e-19,7.308899333164232e-20
0.46603358,2.129882606045672e-11,9.92596811442922e-12
3.4168603,1.0635194707108419e-18,3.633897502444099e-18
2.8753169,5.54696060879261e-12,1.5949269350740973e-11
2.1457186,1.4087903628539758e-09,3.022867649186077e-09
4.8700223,3.8515884460254425e-09,1.875732161064758e-08
3.0710123,3.557164253830831e-62,1.0924095029118004e-61
1.776877,5.342779780415487e-14,9.493462751683897e-14
0.39378026,4.701507821206257e-12,1.851360978235877e-12
1.7631489,1.4534903991759804e-21,2.5627200040588913e-21
4.6020617,2.8647454360860712e-15,1.3183735390614949e-14
1.6211157,1.0771793077648337e-09,1.746232270846418e-09
0.8282378,3.05510705421061e-11,2.530355059763958e-11
1.3590157,2.6588487446912873e-13,3.6134171964725073e-13
3.6371372,8.066922427025258e-11,2.9340503443999033e-10
0.980524,1.264363677675704e-17,1.2397389351217802e-17
1.1113471,1.128273333887714e-17,1.253903274242278e-17
1.9257245,1.025472670271781e-11,1.9747778517634334e-11
2.9127283,2.4434978787391013e-11,7.117245445927526e-11
1.1122241,9.937418179974562e-12,1.105263601162205e-11
0.5595341,3.4321990464367496e-18,1.9204323113737974e-18
0.9112387,1.0455357259332469e-12,9.52732584701915e-13
1.5197414,1.6411918516959044e-18,2.4941872285870327e-18
2.769282,2.197621769304096e-15,6.0858346339846615e-15
1.2739612,2.378960576556166e-15,3.0307034385297237e-15
0.25240555,2.2212848899125947e-27,5.606646433549817e-28
3.1826901,5.138902501309453e-14,1.6355534339762952e-13
2.1278598,2.7042506204010057e-13,5.754266267719591e-13
0.48874238,9.648452290913457e-14,4.7156075488514716e-14
0.078154065,2.370833126760238e-19,1.8529024561706874e-20
2.1049492,2.9280556457890245e-12,6.16340849432354e-12
1.5785731,4.237736910096163e-12,6.689577523867798e-12
0.28625327,2.4041409621108055e-12,6.881932203286227e-13
2.8659291,3.2988156085560447e-16,9.454171736303663e-16
1.1972989,3.516027998431054e-19,4.2097364000117805e-19
0.3114638,7.080494841821267e-14,2.205317850930109e-14
0.5337641,1.0620775414469564e-20,5.668988884419587e-21
0.6014921,1.5678005081971916e-15,9.430196308971843e-16
1.0414708,7.971080200234149e-15,8.30164700252338e-15
1.2779642,5.615549041035448e-08,7.176470830693603e-08
0.4886152,2.722868466142861e-10,1.3304349605237314e-10
0.63018346,1.8468497668611635e-15,1.163854173093285e-15
0.5830661,2.2284712719079472e-18,1.299346066493451e-18
0.4373644,7.576734985593336e-11,3.3137941466380594e-11
0.31080326,3.7037019985995296e-21,1.1511226714536172e-21
1.2904121,6.097570495173737e-11,7.868378554690761e-11
1.1268432,3.5081005867553258e-15,3.953079340337561e-15
0.48621604,2.955020921340371e-19,1.4367785659567868e-19
0.2840259,2.9964712452526254e-13,8.510754647799123e-14
0.8344914,2.6100630544038656e-18,2.1780750995590786e-18
0.332115,7.141912295817396e-14,2.3719361630299198e-14
1.5122312,1.3785690553589888e-10,2.0847151792397837e-10
4.639886,6.934307291051369e-11,3.217439464269196e-10
1.3160948,6.71595124144227e-14,8.838828211262784e-14
1.5551449,6.17139482349184e-10,9.597413222939684e-10
0.80753577,1.1386789830371143e-16,9.195240065658926e-17
0.311049,1.0650009448432699e-11,3.312674941539222e-12
0.76157975,6.6535599907832e-11,5.0672165674874315e-11
27.538162,1.921195046056428e-12,5.2906180856550965e-11
10.607474,6.076435710787565e-15,6.44556358023762e-14
1.6853622,1.6442970187010468e-20,2.77123607346576e-20
1.1712502,4.367303582711659e-15,5.115205300022566e-15
5.5570703,5.936306163333974e-13,3.298847040649584e-12
0.97658396,5.284853322346823e-13,5.161102973254108e-13
1.2107713,5.433074052992913e-18,6.578210255026385e-18
1.3906358,1.9703744878931238e-15,2.7400733969381746e-15
0.36845076,7.27305856894494e-14,2.679763963371606e-14
0.8750248,1.0848588959648872e-09,9.492784336229924e-10
1.2427849,6.004759789647499e-13,7.46262454099962e-13
0.30555603,7.657190532207931e-12,2.3397007329407233e-12
1.014255,9.711764759659214e-10,9.85020642125075e-10
0.74980456,1.2658819566632299e-13,9.49164058932384e-14
0.83380973,1.99454392166072e-10,1.6630701355561817e-10
0.98310786,1.0999087806513482e-12,1.0813289728833054e-12
1.0744611,9.440589730838529e-12,1.0143546450311536e-11
0.1713528,2.2355972347494867e-17,3.830758541342153e-18
0.8480394,9.152916109648055e-16,7.762033382051231e-16
0.09858853,8.434009700247129e-16,8.314966495548293e-17
1.1490296,1.9160300622723037e-13,2.201575280070034e-13
1.5887768,4.074319503604034e-16,6.4731844125438e-16
1.2269777,5.747553027169652e-15,7.05211942813424e-15
0.3676332,5.467166017999551e-19,2.0099117038564525e-19
0.7244891,1.0685269413937462e-15,7.741361144313968e-16
0.8189131,5.730246050055914e-20,4.6925735689338626e-20
0.120983556,0.0,0.0
1.4525237,3.706124253665961e-22,5.3832333445166895e-22
1.9402956,1.0594999200775315e-11,2.055743008810474e-11
0.21345845,4.027414449104228e-17,8.596856403701515e-18
2.0755153,4.082582149936342e-10,8.473461594174179e-10
0.94241667,1.7315127333621683e-15,1.6318064606677956e-15
0.20678942,6.62177599243317e-10,1.3693132105875024e-10
