Q,Pgen,Ppost
0.71185577,3.416034860931377e-09,2.43172412339683e-09
0.31204835,2.4465074216926208e-08,7.634285939369161e-09
0.31054795,6.938000628750667e-14,2.1545818576736876e-14
0.9275272,8.951077882422606e-10,8.302368109083896e-10
1.4261918,9.675886316752203e-15,1.379966978841455e-14
0.683796,1.5758453611305049e-12,1.077556736531487e-12
0.59399545,6.289454184102725e-16,3.7359071804614235e-16
0.61287206,2.210020979184308e-08,1.3544601192470837e-08
0.220771,2.1115298628752768e-13,4.661645589118074e-14
1.9969678,6.559958256763581e-13,1.3100025358973387e-12
1.0790845,7.096389318803439e-10,7.657603830388444e-10
1.9584292,1.978724357811864e-10,3.8751915953982376e-10
0.5400553,2.4519433791917724e-20,1.324184955844049e-20
1.2649504,2.2345869621219318e-11,2.8266416595721562e-11
0.32217312,2.8283948525754323e-12,9.112327902618316e-13
2.585538,1.398352859322944e-20,3.6154943299816043e-20
0.34212863,3.519991426670746e-14,1.2042898600924954e-14
2.3780673,2.873346273227626e-13,6.833010684696774e-13
0.36776814,2.6034192631949765e-12,9.574546565431677e-13
0.6768699,1.544563265821355e-20,1.0454684278204708e-20
0.55320925,4.809903267817137e-13,2.660882956297823e-13
4.8265333,8.354745762411506e-10,4.03244587820718e-09
0.888221,1.540436529466294e-08,1.3682481138692534e-08
1.1363829,4.993397033689151e-16,5.674411188904594e-16
2.7834349,3.371681044330404e-13,9.384854582088111e-13
44.922985,5.86748553469664e-19,2.6358496511412897e-17
1.8250197,5.764551875838158e-14,1.0520420834321952e-13
7.8433475,5.663332913218781e-14,4.441948832654879e-13
4.030872,4.117054008648984e-15,1.6595317183049633e-14
1.7950479,3.5608689979170246e-16,6.391930342887837e-16
1.7359331,7.834586441264258e-09,1.3600317657238183e-08
4.121663,9.685723168434668e-11,3.9921287717842977e-10
0.561154,6.740946995533632e-13,3.7827094236639094e-13
1.9275277,1.1093645308041618e-10,2.1383308249061026e-10
0.6836146,3.103695373436437e-13,2.1217315073161429e-13
0.8847352,1.8616296608340995e-10,1.647049339881355e-10
2.1881404,8.951545296169706e-10,1.958723783608303e-09
1.3902063,2.366275657010268e-15,3.289611413405587e-15
1.2046857,5.790098089982558e-13,6.975248301226971e-13
1.8430312,2.90684127464254e-10,5.357399069548565e-10
1.7642182,5.497399450845902e-15,9.698612225280349e-15
3.777552,4.451032433308839e-13,1.6814005978313526e-12
15.768864,4.0049108564459346e-16,6.3152893337752124e-15
5.695241,6.902916052186761e-16,3.931377034343886e-15
0.1847065,1.833179322118673e-20,3.386001258507468e-21
3.9047952,1.476381273064807e-15,5.7649664638914005e-15
1.4034922,7.970717790451285e-17,1.1186840345303831e-16
2.0306735,1.3534051762457353e-09,2.7483240314104805e-09
1.2127225,2.548828311074807e-13,3.0910215431800856e-13
1.7941104,6.337139790083502e-13,1.1369528513693575e-12
1.8037642,3.2546035476900564e-19,5.8705374427974375e-19
1.1602681,2.9005732687807462e-11,3.365442543570297e-11
3.8933678,1.7274460308799585e-10,6.725582696437058e-10
0.70696497,1.8431825579893732e-19,1.3030655011407368e-19
1.6958739,6.805648805204257e-08,1.1541521885569176e-07
0.35545158,1.4348252556488462e-11,5.100109096860186e-12
0.533299,4.632578273099442e-12,2.4705494942241467e-12
1.2649488,8.879733459194307e-14,1.1232408582313569e-13
1.2341673,1.4041221726017345e-17,1.732921723168902e-17
3.4317439,1.788544087342624e-10,6.137825190515101e-10
1.8388205,5.219176145041724e-10,9.597127866582094e-10
1.0511858,2.4765145445686266e-11,2.6032770374777944e-11
1.0320332,2.921716625082396e-10,3.015308572780082e-10
1.5101095,1.483565488688997e-11,2.2403464033220902e-11
6.06741,5.663027515750776e-13,3.4359909735271835e-12
4.040989,1.2730844259293426e-15,5.144520062102879e-15
0.74354523,8.779025796349062e-11,6.527602791823515e-11
19.986074,2.910462440247962e-19,5.8168719007832e-18
3.1373105,1.555634175709392e-14,4.8805074412552644e-14
0.6381826,1.871150832144775e-08,1.1941358665086842e-08
2.0319474,2.7850199548603397e-14,5.6590139847737566e-14
0.8667262,1.5202428320922486e-09,1.3176343228155319e-09
0.36506832,1.3133836695689626e-12,4.79474765115146e-13
0.4208402,2.5409142705560724e-17,1.0693188793627294e-17
0.76925564,2.276222958919849e-15,1.750997344773107e-15
1.2585719,2.566186924762678e-12,3.2297306591524463e-12
1.6155721,4.6388201614673024e-10,7.494348406206325e-10
0.9469532,7.133259716927192e-11,6.754862954535182e-11
0.5999675,1.6792436282007977e-09,1.0074915674236738e-09
11.916105,0.0,0.0
1.0688239,2.2924890492848632e-11,2.450267163394734e-11
0.78992736,6.356088474279459e-13,5.020848209997313e-13
1.7417114,6.812905823090536e-12,1.1866115589983733e-11
0.8029035,3.5458162251844135e-08,2.846948163157896e-08
0.99692446,1.0884645297226809e-10,1.0851169134513543e-10
2.2325888,1.1065124679488426e-10,2.470387307600489e-10
1.4918499,1.1693996261157464e-10,1.7445687144528696e-10
0.58614075,2.549748370656711e-09,1.4945114269761842e-09
1.2619438,1.7584425424964094e-12,2.21905569429695e-12
2.1232336,1.7659396449884352e-09,3.749502313430101e-09
1.4103559,4.6944925084630165e-12,6.620905326807832e-12
